=== Page 1 (Unit 1) ALL Spans ===
Page size: 595.2 x 841.8
Total blocks: 36

Idx      B   L   S |      x0      y0      x1      y1 | font                       size | text
99      11  12   1 |   507.9   265.2   531.4   277.0 | SimSun                     11.8 | 通过
100     12   0   0 |    59.9   289.8    73.8   305.0 | MicrosoftYaHei             11.8 | 08
101     12   0   1 |    73.8   292.6    83.0   304.3 | Cambria                    11.8 |  
102     12   0   2 |    83.0   292.6   111.7   304.3 | Cambria                    11.8 | social
103     12   1   0 |   147.5   283.5   156.7   295.3 | Cambria                    11.8 | 1 
104     12   1   1 |   156.8   282.8   192.1   294.6 | SimSun                     11.8 | 社会的
105     12   2   0 |   214.8   292.6   227.7   304.3 | Cambria                    11.8 | 32
106     12   3   0 |   237.3   292.6   255.6   304.3 | Cambria                    11.8 | like
107     12   4   0 |   320.1   283.5   329.2   295.3 | Cambria                    11.8 | 1 
108     12   4   1 |   329.2   282.8   352.7   294.6 | SimSun                     11.8 | 喜欢
109     12   5   0 |   498.6   283.5   507.9   295.3 | Cambria                    11.8 | 2 
110     12   5   1 |   507.9   282.8   531.4   294.6 | SimSun                     11.8 | 传递
111     13   0   0 |   147.5   301.3   156.7   313.1 | Cambria                    11.8 | 2 
112     13   0   1 |   156.8   300.6   192.1   312.4 | SimSun                     11.8 | 社交的
113     13   1   0 |   320.1   301.3   329.2   313.1 | Cambria                    11.8 | 2 
114     13   1   1 |   329.2   300.6   341.0   312.4 | SimSun                     11.8 | 像
115     13   2   0 |   406.9   301.3   419.8   313.1 | Cambria                    11.8 | 59
116     13   2   1 |   419.8   301.3   425.6   313.1 | Cambria                    11.8 |  
117     13   2   2 |   425.6   301.3   442.0   313.1 | Cambria                    11.8 | too
118     13   3   0 |   498.6   301.5   510.4   313.2 | SimSun                     11.8 | 也
119     14   0   0 |    59.9   343.1    73.8   358.3 | MicrosoftYaHei             11.8 | 09
120     14   0   1 |    73.8   345.9    83.0   357.6 | Cambria                    11.8 |  
121     14   0   2 |    83.0   345.9   107.6   357.6 | Cambria                    11.8 | state
122     15   0   0 |   147.5   319.1   156.7   330.8 | Cambria                    11.8 | 1 
123     15   0   1 |   156.8   318.4   180.3   330.1 | SimSun                     11.8 | 国家
124     15   1   0 |   214.8   319.1   227.7   330.8 | Cambria                    11.8 | 33
125     15   2   0 |   237.3   319.1   264.8   330.8 | Cambria                    11.8 | likely
126     15   3   0 |   320.1   319.2   378.9   331.0 | SimSun                     11.8 | 很有可能的
127     15   4   0 |   406.9   319.1   419.8   330.8 | Cambria                    11.8 | 60
128     15   4   1 |   419.8   319.1   425.6   330.8 | Cambria                    11.8 |  
129     15   4   2 |   425.6   319.1   467.8   330.8 | Cambria                    11.8 | increase
130     15   5   0 |   498.6   319.2   522.2   331.0 | SimSun                     11.8 | 增加
131     15   6   0 |   147.5   337.0   156.7   348.7 | Cambria                    11.8 | 2 
132     15   6   1 |   156.8   336.3   168.5   348.0 | SimSun                     11.8 | 州
133     15   7   0 |   214.8   345.9   227.7   357.6 | Cambria                    11.8 | 34
134     15   8   0 |   237.3   345.9   257.2   357.6 | Cambria                    11.8 | find
135     15   9   0 |   320.1   337.0   329.2   348.7 | Cambria                    11.8 | 1 
136     15   9   1 |   329.2   336.3   352.7   348.0 | SimSun                     11.8 | 找到
137     15  10   0 |   406.9   337.0   419.8   348.7 | Cambria                    11.8 | 61
138     15  10   1 |   419.8   337.0   425.6   348.7 | Cambria                    11.8 |  
139     15  10   2 |   425.6   337.0   461.8   348.7 | Cambria                    11.8 | market
140     15  11   0 |   498.6   337.0   522.2   348.8 | SimSun                     11.8 | 市场
141     15  12   0 |   147.5   354.7   156.7   366.5 | Cambria                    11.8 | 3 
142     15  12   1 |   156.8   354.0   180.3   365.8 | SimSun                     11.8 | 状态
143     15  13   0 |   320.1   354.7   329.2   366.5 | Cambria                    11.8 | 2 
144     15  13   1 |   329.2   354.0   352.7   365.8 | SimSun                     11.8 | 发现
145     15  14   0 |   406.9   354.7   419.8   366.5 | Cambria                    11.8 | 62
146     15  14   1 |   419.8   354.7   425.6   366.5 | Cambria                    11.8 |  
147     15  14   2 |   425.6   354.7   441.2   366.5 | Cambria                    11.8 | yet
148     15  15   0 |   498.6   354.7   522.2   366.5 | SimSun                     11.8 | 不过
149     15  16   0 |   147.5   372.3   156.7   384.1 | Cambria                    11.8 | 4 
150     15  16   1 |   156.8   371.6   168.5   383.4 | SimSun                     11.8 | 说
151     16   0   0 |   214.8   390.1   227.7   401.9 | Cambria                    11.8 | 35
152     16   1   0 |   237.3   390.1   256.0   401.9 | Cambria                    11.8 | just
153     17   0   0 |   320.1   372.3   329.2   384.1 | Cambria                    11.8 | 1 
154     17   0   1 |   329.2   371.6   352.7   383.4 | SimSun                     11.8 | 仅仅
155     17   1   0 |   406.9   372.3   419.8   384.1 | Cambria                    11.8 | 63
156     17   1   1 |   419.8   372.3   425.6   384.1 | Cambria                    11.8 |  
157     17   1   2 |   425.6   372.3   443.8   384.1 | Cambria                    11.8 | any
158     17   2   0 |   498.6   372.4   522.2   384.1 | SimSun                     11.8 | 任何
159     18   0   0 |    59.9   405.2    73.8   420.4 | MicrosoftYaHei             11.8 | 10
160     18   0   1 |    73.8   407.9    83.0   419.7 | Cambria                    11.8 |  
161     18   0   2 |    83.0   407.9   109.2   419.6 | Cambria                    11.8 | work
162     19   0   0 |   147.5   390.1   156.7   401.9 | Cambria                    11.8 | 1 
163     19   0   1 |   156.8   389.4   180.3   401.2 | SimSun                     11.8 | 工作
164     19   1   0 |   320.1   390.1   329.2   401.9 | Cambria                    11.8 | 2 
165     19   1   1 |   329.2   389.4   341.0   401.2 | SimSun                     11.8 | 就
166     19   2   0 |   406.9   390.1   419.8   401.9 | Cambria                    11.8 | 64
167     19   2   1 |   419.8   390.1   425.6   401.9 | Cambria                    11.8 |  
168     19   2   2 |   425.6   390.1   451.0   401.9 | Cambria                    11.8 | early
169     19   3   0 |   498.6   390.3   510.4   402.0 | SimSun                     11.8 | 早
170     19   4   0 |   147.5   407.9   156.7   419.6 | Cambria                    11.8 | 2 
171     19   4   1 |   156.8   407.2   180.3   418.9 | SimSun                     11.8 | 作品
172     19   5   0 |   320.1   407.9   329.2   419.6 | Cambria                    11.8 | 3 
173     19   5   1 |   329.2   407.2   364.5   418.9 | SimSun                     11.8 | 公平的
174     19   6   0 |   406.9   407.9   419.8   419.6 | Cambria                    11.8 | 65
175     19   6   1 |   419.8   407.9   425.6   419.6 | Cambria                    11.8 |  
176     19   6   2 |   425.6   407.9   446.7   419.6 | Cambria                    11.8 | part
177     19   7   0 |   498.6   408.0   522.2   419.8 | SimSun                     11.8 | 部分
178     19   8   0 |   147.5   425.8   156.7   437.5 | Cambria                    11.8 | 3 
179     19   8   1 |   156.8   425.1   192.1   436.8 | SimSun                     11.8 | 起作用
180     19   9   0 |   214.8   434.6   227.7   446.4 | Cambria                    11.8 | 36
181     19  10   0 |   237.3   434.6   255.3   446.4 | Cambria                    11.8 | last
182     19  11   0 |   320.1   425.8   329.2   437.5 | Cambria                    11.8 | 1 
183     19  11   1 |   329.2   425.1   352.7   436.8 | SimSun                     11.8 | 最后
184     20   0   0 |   406.9   443.5   419.8   455.3 | Cambria                    11.8 | 66
185     20   0   1 |   419.8   443.5   425.6   455.3 | Cambria                    11.8 |  
186     20   0   2 |   425.6   443.5   462.6   455.3 | Cambria                    11.8 | reason 
187     21   0   0 |   498.6   425.8   507.9   437.5 | Cambria                    11.8 | 1 
188     21   0   1 |   507.9   425.1   531.4   436.8 | SimSun                     11.8 | 理性
189     22   0   0 |    59.9   458.5    73.8   473.7 | MicrosoftYaHei             11.8 | 11
190     22   0   1 |    73.8   461.1    83.0   473.1 | Cambria                    11.8 |  
191     22   0   2 |    83.0   461.1   105.8   472.9 | Cambria                    11.8 | time
192     23   0   0 |   147.5   443.4   156.7   455.1 | Cambria                    11.8 | 1 
193     23   0   1 |   156.8   442.7   180.3   454.4 | SimSun                     11.8 | 时间
194     23   1   0 |   320.1   443.4   329.2   455.1 | Cambria                    11.8 | 2 
195     23   1   1 |   329.2   442.7   352.7   454.4 | SimSun                     11.8 | 持续
196     23   2   0 |   498.6   443.4   507.9   455.1 | Cambria                    11.8 | 2 
197     23   2   1 |   507.9   442.7   531.4   454.4 | SimSun                     11.8 | 原因
198     24   0   0 |   147.5   461.1   156.7   472.9 | Cambria                    11.8 | 2 
199     24   0   1 |   156.8   460.4   180.3   472.2 | SimSun                     11.8 | 次数
200     24   1   0 |   214.8   461.1   227.7   472.9 | Cambria                    11.8 | 37
201     24   2   0 |   237.3   461.1   260.3   472.9 | Cambria                    11.8 | -less
202     24   3   0 |   320.1   461.3   343.6   473.0 | SimSun                     11.8 | 没有
203     24   4   0 |   498.6   461.1   507.9   472.9 | Cambria                    11.8 | 3 
204     24   4   1 |   507.9   460.4   531.4   472.2 | SimSun                     11.8 | 推理
205     25   0   0 |   147.5   478.9   156.7   490.7 | Cambria                    11.8 | 3 
206     25   0   1 |   156.8   478.2   180.3   490.0 | SimSun                     11.8 | 倍数
207     25   1   0 |   214.8   478.9   227.7   490.7 | Cambria                    11.8 | 38
208     25   2   0 |   237.3   478.9   256.3   490.7 | Cambria                    11.8 | less
209     25   3   0 |   320.1   479.1   355.4   490.8 | SimSun                     11.8 | 较少的
210     25   4   0 |   406.9   478.9   419.8   490.7 | Cambria                    11.8 | 67
211     25   4   1 |   419.8   478.9   425.6   490.7 | Cambria                    11.8 |  
212     25   4   2 |   425.6   478.9   464.3   490.7 | Cambria                    11.8 | century
213     25   5   0 |   498.6   479.1   522.2   490.8 | SimSun                     11.8 | 世纪
214     26   0   0 |    59.9   502.9    73.8   518.1 | MicrosoftYaHei             11.8 | 12
215     26   0   1 |    73.8   505.7    83.0   517.5 | Cambria                    11.8 |  
216     26   0   2 |    83.0   505.7   132.0   517.5 | Cambria                    11.8 | company 
217     26   1   0 |   147.5   496.7   156.7   508.5 | Cambria                    11.8 | 1 
218     26   1   1 |   156.8   496.0   180.3   507.7 | SimSun                     11.8 | 公司
219     26   2   0 |   214.8   496.7   227.7   508.5 | Cambria                    11.8 | 39
220     26   3   0 |   237.3   496.7   266.5   508.5 | Cambria                    11.8 | result
221     26   4   0 |   320.1   496.8   343.6   508.6 | SimSun                     11.8 | 结果
222     26   5   0 |   406.9   496.7   419.8   508.5 | Cambria                    11.8 | 68
223     26   5   1 |   419.8   496.7   425.6   508.5 | Cambria                    11.8 |  
224     26   5   2 |   425.6   496.7   457.0   508.5 | Cambria                    11.8 | family
225     26   6   0 |   498.6   496.8   522.2   508.6 | SimSun                     11.8 | 家族
226     26   7   0 |   147.5   514.6   156.7   526.3 | Cambria                    11.8 | 2 
227     26   7   1 |   156.8   513.9   180.3   525.6 | SimSun                     11.8 | 陪伴
228     26   8   0 |   214.8   514.6   227.7   526.3 | Cambria                    11.8 | 40
229     26   9   0 |   237.3   514.6   319.6   526.3 | Cambria                    11.8 | result in/lead to
230     26   9   1 |   320.1   514.6   343.6   526.4 | SimSun                     11.8 | 导致
231     26  10   0 |   406.9   514.6   419.8   526.3 | Cambria                    11.8 | 69
232     26  10   1 |   419.8   514.6   425.6   526.3 | Cambria                    11.8 |  
233     26  10   2 |   425.6   514.6   458.1   526.3 | Cambria                    11.8 | before
234     26  11   0 |   498.6   514.6   552.0   526.4 | SimSun                     11.8 | 在...之前
235     26  12   0 |    59.9   529.6    73.8   544.7 | MicrosoftYaHei             11.8 | 13
236     26  12   1 |    73.8   532.2    83.0   544.1 | Cambria                    11.8 |  
237     26  12   2 |    83.0   532.2   116.8   543.9 | Cambria                    11.8 | author
238     26  13   0 |   147.5   532.2   150.1   543.9 | Cambria                    11.8 |  
239     26  13   1 |   150.2   531.5   173.7   543.2 | SimSun                     11.8 | 作者
240     26  14   0 |   214.8   532.2   227.7   543.9 | Cambria                    11.8 | 41
241     26  15   0 |   237.3   532.2   255.7   543.9 | Cambria                    11.8 | few
242     26  16   0 |   320.1   532.2   367.1   544.0 | SimSun                     11.8 | 几乎没有
243     26  17   0 |   406.9   532.2   419.8   543.9 | Cambria                    11.8 | 70
244     26  17   1 |   419.8   532.2   425.6   543.9 | Cambria                    11.8 |  
245     26  17   2 |   425.6   532.2   464.8   543.9 | Cambria                    11.8 | country
246     26  18   0 |   498.6   532.2   522.2   544.0 | SimSun                     11.8 | 国家
247     26  19   0 |    59.9   547.3    73.8   562.5 | MicrosoftYaHei             11.8 | 14
248     26  19   1 |    73.8   550.0    83.0   561.9 | Cambria                    11.8 |  
249     26  19   2 |    83.0   550.0   122.1   561.7 | Cambria                    11.8 | become
250     26  20   0 |   147.5   550.1   171.1   561.9 | SimSun                     11.8 | 变成
251     26  21   0 |   214.8   550.0   227.7   561.7 | Cambria                    11.8 | 42
252     26  22   0 |   237.3   550.0   264.3   561.7 | Cambria                    11.8 | a few
253     26  23   0 |   320.1   550.1   343.6   561.9 | SimSun                     11.8 | 一些
254     26  24   0 |   406.9   550.0   419.8   561.7 | Cambria                    11.8 | 71
255     26  24   1 |   419.8   550.0   425.6   561.7 | Cambria                    11.8 |  
256     26  24   2 |   425.6   550.0   447.6   561.7 | Cambria                    11.8 | high
257     26  25   0 |   498.6   550.1   510.4   561.9 | SimSun                     11.8 | 高
258     26  26   0 |    59.9   565.0    73.8   580.2 | MicrosoftYaHei             11.8 | 15
259     26  26   1 |    73.8   567.7    83.0   579.6 | Cambria                    11.8 |  
260     26  26   2 |    83.0   567.7   107.0   579.5 | Cambria                    11.8 | even
261     26  27   0 |   147.5   567.9   171.1   579.6 | SimSun                     11.8 | 甚至
262     26  28   0 |   214.8   567.7   227.7   579.5 | Cambria                    11.8 | 43
263     26  29   0 |   237.3   567.7   268.7   579.5 | Cambria                    11.8 | follow
264     26  30   0 |   320.1   567.9   343.6   579.6 | SimSun                     11.8 | 跟随
265     26  31   0 |   406.9   567.7   419.8   579.5 | Cambria                    11.8 | 72
266     26  31   1 |   419.8   567.7   425.6   579.5 | Cambria                    11.8 |  
267     26  31   2 |   425.6   567.7   454.8   579.5 | Cambria                    11.8 | might
268     26  32   0 |   498.6   567.9   522.2   579.6 | SimSun                     11.8 | 可能
269     27   0   0 |    59.9   591.7    73.8   606.9 | MicrosoftYaHei             11.8 | 16
270     27   0   1 |    73.8   594.5    83.0   606.3 | Cambria                    11.8 |  
271     27   0   2 |    83.0   594.5   103.7   606.3 | Cambria                    11.8 | way
272     27   1   0 |   147.5   585.6   156.7   597.4 | Cambria                    11.8 | 1 
273     27   1   1 |   156.8   584.9   180.3   596.6 | SimSun                     11.8 | 道路
274     27   2   0 |   214.8   594.5   227.7   606.3 | Cambria                    11.8 | 44
275     27   3   0 |   237.3   594.5   255.4   606.3 | Cambria                    11.8 | live
276     27   4   0 |   320.1   585.6   329.2   597.4 | Cambria                    11.8 | 1 
277     27   4   1 |   329.2   584.9   376.5   596.6 | SimSun                     11.8 | 活／居住
278     27   5   0 |   406.9   585.6   419.8   597.4 | Cambria                    11.8 | 73
279     27   5   1 |   419.8   585.6   425.6   597.4 | Cambria                    11.8 |  
280     27   5   2 |   425.6   585.6   451.7   597.4 | Cambria                    11.8 | often
281     27   6   0 |   498.6   585.6   522.2   597.4 | SimSun                     11.8 | 经常
282     27   7   0 |   147.5   603.4   156.7   615.1 | Cambria                    11.8 | 2 
283     27   7   1 |   156.8   602.7   180.3   614.4 | SimSun                     11.8 | 方式
284     27   8   0 |   320.1   603.4   329.2   615.1 | Cambria                    11.8 | 2 
285     27   8   1 |   329.2   602.7   364.5   614.4 | SimSun                     11.8 | 直播的
286     27   9   0 |   406.9   603.4   419.8   615.1 | Cambria                    11.8 | 74
287     27   9   1 |   419.8   603.4   425.6   615.1 | Cambria                    11.8 |  
288     27   9   2 |   425.6   603.4   467.8   615.1 | Cambria                    11.8 | scientist
289     27  10   0 |   498.6   603.4   533.9   615.2 | SimSun                     11.8 | 科学家
290     27  11   0 |    59.9   618.4    73.8   633.5 | MicrosoftYaHei             11.8 | 17
291     27  11   1 |    73.8   621.0    83.0   632.9 | Cambria                    11.8 |  
292     27  11   2 |    83.0   621.0   119.8   632.7 | Cambria                    11.8 | science
293     27  12   0 |   147.5   621.0   171.1   632.8 | SimSun                     11.8 | 科学
294     27  13   0 |   214.8   630.0   227.7   641.8 | Cambria                    11.8 | 45
295     27  14   0 |   237.3   630.0   259.1   641.8 | Cambria                    11.8 | own
296     27  15   0 |   320.1   621.0   340.7   632.7 | Cambria                    11.8 | adj. 
297     27  15   1 |   340.7   620.3   376.0   632.0 | SimSun                     11.8 | 自己的
298     27  16   0 |   406.9   621.0   419.8   632.7 | Cambria                    11.8 | 75
299     27  16   1 |   419.8   621.0   425.6   632.7 | Cambria                    11.8 |  
300     27  16   2 |   425.6   621.0   461.4   632.7 | Cambria                    11.8 | culture
301     27  17   0 |   498.6   621.0   522.2   632.8 | SimSun                     11.8 | 文化
302     27  18   0 |    59.9   636.1    73.8   651.3 | MicrosoftYaHei             11.8 | 18
303     27  18   1 |    73.8   638.8    83.0   650.7 | Cambria                    11.8 |  
304     27  18   2 |    83.0   638.8   126.7   650.5 | Cambria                    11.8 | research
305     27  19   0 |   147.5   638.9   171.1   650.7 | SimSun                     11.8 | 研究
306     27  20   0 |   320.1   638.8   331.1   650.5 | Cambria                    11.8 | v. 
307     27  20   1 |   331.1   638.1   354.6   649.8 | SimSun                     11.8 | 拥有
308     27  21   0 |   406.9   638.8   419.8   650.5 | Cambria                    11.8 | 76
309     27  21   1 |   419.8   638.8   425.6   650.5 | Cambria                    11.8 |  
310     27  21   2 |   425.6   638.8   473.8   650.5 | Cambria                    11.8 | economic
311     27  22   0 |   498.6   638.9   533.9   650.7 | SimSun                     11.8 | 经济的
312     27  23   0 |    59.9   653.8    73.8   669.0 | MicrosoftYaHei             11.8 | 19
313     27  23   1 |    73.8   656.5    83.0   668.4 | Cambria                    11.8 |  
314     27  23   2 |    83.0   656.5   116.1   668.3 | Cambria                    11.8 | search
315     27  24   0 |   147.5   656.7   171.1   668.4 | SimSun                     11.8 | 搜索
316     27  25   0 |   214.8   656.5   227.7   668.3 | Cambria                    11.8 | 46
317     27  26   0 |   237.3   656.5   281.3   668.3 | Cambria                    11.8 | however
318     27  27   0 |   320.1   656.7   379.3   668.4 | SimSun                     11.8 | 然而；但是
319     27  28   0 |   406.9   656.5   419.8   668.3 | Cambria                    11.8 | 77
320     27  28   1 |   419.8   656.5   425.6   668.3 | Cambria                    11.8 |  
321     27  28   2 |   425.6   656.5   460.9   668.3 | Cambria                    11.8 | federal
322     27  29   0 |   498.6   656.7   522.2   668.4 | SimSun                     11.8 | 联邦
323     27  30   0 |    59.9   671.6    73.8   686.8 | MicrosoftYaHei             11.8 | 20
324     27  30   1 |    73.8   674.4    83.0   686.2 | Cambria                    11.8 |  
325     27  30   2 |    83.0   674.4   103.1   686.2 | Cambria                    11.8 | into
326     27  31   0 |   147.5   674.4   171.1   686.2 | SimSun                     11.8 | 进入
327     27  32   0 |   214.8   674.4   227.7   686.2 | Cambria                    11.8 | 47
328     27  33   0 |   237.3   674.4   264.1   686.2 | Cambria                    11.8 | show
